Gene	bNum	Rna_37C	Rna_10min	Rna_30min	Rna_2hr	Rna_3hr	Rna_4hr	Rna_6hr	Filter_2f	Cluster group	First ORF	ORF start	TSS	5'UTR length	Other TSS
rpsH	b3306	5.95E-03	5.32E-03	4.67E-03	3.39E-03	3.68E-03	3.60E-03	5.46E-03	NO						
rpsN	b3307	3.32E-03	3.54E-03	3.54E-03	2.93E-03	2.64E-03	2.73E-03	4.25E-03	NO						
rplE	b3308	8.07E-03	7.43E-03	6.01E-03	5.25E-03	5.91E-03	6.01E-03	8.60E-03	NO						
rplX	b3309	3.72E-03	4.17E-03	3.16E-03	2.64E-03	2.83E-03	3.78E-03	5.04E-03	NO						
rplN	b3310	5.91E-03	5.35E-03	5.08E-03	4.39E-03	4.97E-03	5.29E-03	6.99E-03	NO						
rpsQ	b3311	3.62E-03	3.27E-03	3.12E-03	1.99E-03	1.30E-03	1.21E-03	1.29E-03	NO						
rpmC	b3312	1.88E-03	1.92E-03	2.26E-03	1.39E-03	8.14E-04	7.45E-04	8.32E-04	NO						
rplP	b3313	4.13E-03	4.52E-03	4.04E-03	2.68E-03	2.00E-03	1.63E-03	1.69E-03	NO						
rpsC	b3314	9.31E-03	8.87E-03	7.52E-03	4.62E-03	3.99E-03	3.00E-03	3.12E-03	NO						
rplV	b3315	4.94E-03	4.50E-03	3.70E-03	2.25E-03	1.86E-03	1.35E-03	1.46E-03	NO						
rpsS	b3316	3.07E-03	3.04E-03	2.99E-03	1.72E-03	1.30E-03	1.13E-03	1.29E-03	NO						
rplB	b3317	1.01E-02	9.96E-03	8.83E-03	5.77E-03	4.58E-03	3.59E-03	4.02E-03	NO						
rplW	b3318	3.85E-03	3.91E-03	3.31E-03	2.10E-03	1.70E-03	1.28E-03	1.49E-03	NO						
rplD	b3319	7.59E-03	8.14E-03	8.27E-03	5.57E-03	3.90E-03	3.09E-03	4.12E-03	NO						
rplC	b3320	8.04E-03	8.31E-03	7.05E-03	4.59E-03	4.19E-03	3.17E-03	4.17E-03	NO						
rpsJ	b3321	3.41E-03	3.62E-03	3.41E-03	2.60E-03	2.17E-03	1.70E-03	2.38E-03	NO						
gspB	b3322	0.00E+00	1.18E-06	4.39E-06	3.66E-06	1.02E-06	2.66E-06	8.32E-07	NO						
gspA	b3323	0.00E+00	4.15E-06	8.18E-06	8.57E-06	7.17E-06	9.61E-06	5.00E-06	NO						
bfr	b3336	2.17E-05	1.83E-05	1.77E-05	1.65E-05	1.64E-05	1.37E-05	1.08E-05	NO						
bfd	b3337	9.43E-06	2.26E-06	4.15E-06	4.53E-06	7.64E-07	3.44E-06	8.29E-07	NO						
chiA	b3338	3.36E-05	4.81E-05	6.46E-05	7.86E-05	9.53E-05	8.36E-05	8.92E-05	NO						
tufA	b3339	1.66E-02	1.60E-02	1.42E-02	7.15E-03	5.30E-03	4.33E-03	6.78E-03	NO						
fusA	b3340	2.79E-02	2.71E-02	2.33E-02	1.48E-02	1.25E-02	1.03E-02	1.07E-02	NO						
rpsG	b3341	5.47E-03	5.64E-03	4.63E-03	3.46E-03	3.17E-03	2.84E-03	3.87E-03	NO						
rpsL	b3342	3.53E-03	3.72E-03	3.32E-03	2.73E-03	2.47E-03	2.13E-03	3.15E-03	NO						
yheL	b3343	1.13E-05	3.79E-05	3.17E-05	6.95E-05	9.55E-05	1.52E-04	1.32E-04	NO						
yheM	b3344	3.54E-05	3.96E-05	3.23E-05	1.15E-04	1.62E-04	2.06E-04	2.01E-04	NO						
yheN	b3345	4.82E-05	4.68E-05	5.50E-05	1.68E-04	2.39E-04	2.56E-04	2.12E-04	NO						
yheO	b3346	9.96E-05	1.06E-04	1.16E-04	3.18E-04	4.85E-04	5.45E-04	3.96E-04	NO						
fkpA	b3347	5.99E-04	5.08E-04	5.18E-04	1.10E-03	1.28E-03	1.57E-03	1.61E-03	NO						
slyD	b3349	9.65E-04	8.22E-04	9.15E-04	9.37E-04	6.71E-04	7.48E-04	1.39E-03	NO						
yheV	b4551	1.31E-05	8.13E-06	1.10E-05	4.07E-05	3.59E-05	6.43E-05	8.66E-05	NO						
kefB	b3350	4.12E-05	5.34E-05	1.41E-04	5.94E-04	7.45E-04	7.77E-04	5.51E-04	NO						
kefG	b3351	3.65E-05	2.99E-05	6.68E-05	2.33E-04	2.98E-04	2.72E-04	1.30E-04	NO						
yhfA	b3356	2.10E-05	4.38E-05	5.87E-05	1.14E-04	8.66E-05	7.21E-05	8.27E-05	NO						
argD	b3359	5.42E-05	5.80E-05	5.47E-05	4.99E-05	2.64E-05	2.19E-05	3.83E-05	NO						
pabA	b3360	1.60E-05	2.29E-05	2.68E-05	2.08E-05	1.30E-05	1.66E-05	3.16E-05	NO						
fic	b3361	2.33E-06	1.94E-05	2.98E-05	2.52E-05	2.58E-05	1.85E-05	3.77E-05	NO						
yhfG	b3362	1.00E-05	8.51E-06	4.82E-06	7.52E-06	5.67E-06	5.94E-06	6.62E-06	NO						
ppiA	b3363	1.04E-04	8.81E-05	6.41E-05	4.92E-05	5.09E-05	5.31E-05	3.66E-05	NO						
yhfS	b3376	2.36E-05	6.72E-06	1.04E-05	6.83E-06	6.14E-06	9.65E-06	1.33E-05	NO						
yhfT	b3377	3.89E-06	6.33E-06	5.09E-06	1.06E-05	6.15E-06	1.02E-05	1.17E-05	NO						
yhfU	b3378	0.00E+00	5.92E-07	2.38E-06	2.11E-06	4.60E-06	1.95E-06	1.66E-06	NO						
php	b3379	8.08E-06	2.37E-06	3.01E-06	4.08E-06	4.35E-06	4.10E-06	5.00E-06	NO						
yhfW	b3380	0.00E+00	1.19E-06	3.77E-06	6.12E-06	8.96E-06	5.75E-06	4.17E-06	NO						
yhfX	b3381	2.64E-06	2.17E-06	3.54E-06	3.88E-06	5.38E-06	2.78E-06	2.08E-06	NO						
yhfY	b3382	5.58E-06	7.10E-06	1.78E-05	1.08E-05	7.15E-06	6.82E-06	2.49E-06	NO						
yhfZ	b3383	1.09E-06	2.75E-05	4.74E-05	3.34E-05	2.69E-05	2.15E-05	2.17E-05	NO						
trpS	b3384	5.29E-04	4.52E-04	4.70E-04	3.14E-04	2.66E-04	2.47E-04	2.08E-04	NO						
gph	b3385	1.85E-04	1.72E-04	2.14E-04	1.65E-04	1.07E-04	1.25E-04	1.06E-04	NO						
rpe	b3386	1.69E-04	1.56E-04	1.64E-04	1.33E-04	1.44E-04	1.20E-04	1.06E-04	NO						
dam	b3387	1.06E-04	2.15E-04	2.31E-04	1.95E-04	1.86E-04	1.82E-04	1.89E-04	NO						
damX	b3388	5.27E-04	6.53E-04	7.56E-04	7.08E-04	6.02E-04	6.37E-04	6.47E-04	NO						
aroB	b3389	4.66E-04	7.09E-04	8.77E-04	8.98E-04	8.27E-04	8.98E-04	1.08E-03	NO						
aroK	b3390	5.42E-04	5.92E-04	7.02E-04	6.98E-04	6.21E-04	6.96E-04	8.03E-04	NO						
hofQ	b3391	1.09E-05	5.72E-06	7.41E-06	1.72E-05	1.61E-05	2.45E-05	2.25E-05	NO						
hofP	b3392	1.86E-06	1.58E-06	2.48E-06	6.51E-06	5.88E-06	7.58E-06	9.98E-06	NO						
hofO	b3393	0.00E+00	7.90E-07	9.25E-07	3.00E-06	1.02E-05	7.58E-06	1.66E-06	NO						
hofN	b3394	1.55E-07	4.74E-06	2.78E-06	6.21E-06	6.91E-06	8.13E-06	8.32E-06	NO						
hofM	b3395	1.60E-05	2.17E-06	7.64E-06	1.12E-05	2.15E-05	1.39E-05	1.08E-05	NO						
nudE	b3397	1.18E-04	1.22E-04	1.89E-04	4.10E-04	3.34E-04	2.81E-04	1.46E-04	NO						
yhgE	b3402	2.13E-05	2.51E-05	4.01E-05	6.10E-05	7.94E-05	6.16E-05	4.81E-05	NO						
envZ	b3404	8.76E-05	1.10E-04	1.14E-04	1.02E-04	1.19E-04	1.16E-04	9.58E-05	NO						
ompR	b3405	8.74E-05	9.12E-05	7.74E-05	7.85E-05	7.40E-05	8.81E-05	8.80E-05	NO						
bioH	b3412	3.99E-05	3.24E-05	4.66E-05	4.85E-05	6.27E-05	4.05E-05	2.43E-05	NO						
malQ	b3416	5.43E-05	4.90E-05	8.01E-05	6.60E-05	4.71E-05	6.69E-05	8.34E-05	NO						
malP	b3417	9.19E-05	7.71E-05	7.95E-05	4.95E-05	4.07E-05	4.74E-05	6.34E-05	NO						
rtcA	b4475	1.52E-05	1.27E-05	1.82E-05	2.95E-05	2.38E-05	2.62E-05	2.67E-05	NO						
rtcB	b3421	8.55E-06	1.64E-05	2.09E-05	3.24E-05	2.61E-05	3.20E-05	2.94E-05	NO						
glpR	b3423	4.55E-05	1.18E-04	1.02E-04	1.25E-04	1.76E-04	1.21E-04	8.30E-05	NO						
glpG	b3424	1.40E-04	1.33E-04	1.61E-04	2.36E-04	2.45E-04	1.86E-04	1.23E-04	NO						
glpE	b3425	2.53E-05	3.33E-05	3.86E-05	6.67E-05	4.20E-05	4.85E-05	4.00E-05	NO						
yzgL	b3427	4.34E-06	3.94E-06	9.75E-06	1.23E-05	8.68E-06	1.63E-05	5.29E-05	NO						
glgP	b3428	1.91E-04	1.59E-04	2.32E-04	2.57E-04	3.75E-04	6.45E-04	1.39E-03	NO						
glgA	b3429	1.23E-04	9.59E-05	1.26E-04	1.60E-04	2.26E-04	4.11E-04	1.02E-03	NO						
glgC	b3430	1.20E-04	7.81E-05	1.15E-04	1.31E-04	2.14E-04	3.92E-04	9.58E-04	NO						
glgX	b3431	2.12E-04	1.15E-04	1.59E-04	1.96E-04	2.90E-04	6.66E-04	1.32E-03	NO						
glgB	b3432	4.14E-04	2.44E-04	3.05E-04	4.33E-04	6.26E-04	1.17E-03	1.81E-03	NO						
asd	b3433	9.90E-04	5.10E-04	5.10E-04	5.54E-04	7.02E-04	1.09E-03	1.02E-03	NO						
gntU	b4476	3.73E-06	1.97E-05	4.57E-05	9.24E-05	9.51E-05	1.08E-04	1.10E-04	NO						
gntK	b3437	2.95E-06	1.92E-05	4.01E-05	6.08E-05	6.24E-05	6.72E-05	4.16E-05	NO						
gntR	b3438	8.24E-05	9.69E-05	1.37E-04	2.72E-04	3.08E-04	2.77E-04	1.73E-04	NO						
yhhW	b3439	1.23E-05	1.68E-05	2.90E-05	5.14E-05	6.40E-05	6.59E-05	1.06E-04	NO						
yhhX	b3440	6.50E-05	7.34E-05	7.22E-05	1.27E-04	1.50E-04	1.67E-04	1.91E-04	NO						
ggt	b3447	2.21E-05	6.53E-06	9.26E-06	1.15E-05	8.20E-06	1.19E-05	1.25E-05	NO						
ugpQ	b3449	3.87E-05	2.23E-05	2.77E-05	1.77E-05	1.59E-05	1.58E-05	1.42E-05	NO						
ugpC	b3450	1.73E-05	1.12E-05	1.87E-05	1.59E-05	1.18E-05	1.30E-05	8.33E-06	NO						
ugpE	b3451	0.00E+00	4.61E-06	3.52E-06	4.08E-06	4.10E-06	2.05E-06	2.50E-06	NO						
ugpA	b3452	0.00E+00	1.65E-06	2.82E-06	4.49E-06	2.82E-06	2.67E-06	2.50E-06	NO						
ugpB	b3453	9.17E-06	1.21E-05	1.20E-05	1.63E-05	1.20E-05	1.13E-05	7.50E-06	NO						
livF	b3454	1.91E-05	5.14E-05	8.54E-05	3.91E-05	2.84E-05	1.95E-05	7.50E-06	NO						
livG	b3455	2.54E-05	5.26E-05	6.51E-05	3.84E-05	3.74E-05	2.69E-05	1.00E-05	NO						
livM	b3456	6.48E-05	8.32E-05	1.04E-04	7.73E-05	6.58E-05	4.77E-05	2.92E-05	NO						
livH	b3457	7.13E-05	4.74E-05	7.09E-05	5.85E-05	3.71E-05	3.83E-05	2.17E-05	NO						
livK	b3458	1.02E-04	9.75E-05	8.37E-05	7.85E-05	7.20E-05	5.62E-05	2.04E-05	NO						
livJ	b3460	9.54E-05	8.03E-05	1.08E-04	2.28E-04	2.28E-04	1.30E-04	7.50E-05	NO						
ftsX	b3462	2.13E-04	2.28E-04	3.45E-04	3.81E-04	4.11E-04	4.39E-04	3.94E-04	NO						
ftsE	b3463	1.27E-04	1.75E-04	2.27E-04	2.88E-04	2.68E-04	2.94E-04	2.39E-04	NO						
ftsY	b3464	3.77E-04	3.55E-04	4.63E-04	7.28E-04	6.58E-04	6.00E-04	4.94E-04	NO						
yhhM	b3467	1.74E-05	1.21E-05	1.07E-05	1.65E-05	2.30E-05	1.32E-05	8.73E-06	NO						
sirA	b3470	1.86E-05	1.88E-05	1.36E-05	5.08E-06	9.69E-06	3.75E-06	1.02E-05	NO						
yhhS	b3473	1.68E-05	4.41E-05	6.54E-05	9.28E-05	1.19E-04	1.01E-04	6.33E-05	NO						
yhhJ	b3485	6.85E-05	4.63E-05	9.32E-05	2.07E-04	3.19E-04	3.88E-04	2.83E-04	NO						
rbbA	b3486	1.88E-04	1.60E-04	3.45E-04	1.45E-03	1.92E-03	1.91E-03	1.19E-03	NO						
yhiI	b3487	1.60E-04	1.93E-04	4.79E-04	2.08E-03	2.48E-03	2.23E-03	1.39E-03	NO						
yhiJ	b3488	1.55E-07	8.31E-06	1.04E-05	1.88E-05	1.54E-05	3.13E-05	1.00E-05	NO						
yhiL	b4660	0.00E+00	4.35E-06	2.55E-06	6.73E-06	1.54E-06	4.93E-06	3.33E-06	NO						
yhiL	b4660	8.84E-06	3.95E-07	9.25E-07	2.65E-06	2.47E-06	2.05E-06	2.50E-06	NO						
yhiN	b3492	6.84E-05	1.26E-04	1.19E-04	1.04E-04	7.32E-05	8.67E-05	1.18E-04	NO						
uspB	b3494	1.88E-05	8.88E-06	8.32E-06	1.04E-05	1.25E-05	1.40E-05	1.11E-05	NO						
yhiQ	b3497	9.27E-05	7.49E-05	1.04E-04	6.01E-05	4.20E-05	4.54E-05	3.66E-05	NO						
prlC	b3498	4.10E-04	3.16E-04	2.74E-04	1.95E-04	1.92E-04	1.58E-04	1.46E-04	NO						
dinQ	b4613	7.55E-05	1.13E-04	7.64E-05	1.07E-04	9.68E-05	1.36E-04	1.59E-04	NO						
insH;	b3505	6.83E-05	9.75E-05	8.41E-05	1.07E-04	1.26E-04	8.34E-05	6.97E-05	NO						
yhiD	b3508	0.00E+00	2.77E-06	2.04E-06	3.26E-06	2.30E-06	3.01E-06	4.16E-06	NO						
hdeB	b3509	3.41E-06	6.71E-06	9.24E-07	2.03E-07	1.79E-06	1.54E-06	4.16E-06	NO						
hdeA	b3510	7.91E-06	7.87E-06	6.47E-06	4.48E-06	7.66E-07	2.76E-06	4.16E-06	NO						
gadW	b3515	2.63E-05	4.14E-05	2.56E-05	6.06E-05	7.58E-05	9.87E-05	5.33E-05	NO						
gadX	b3516	2.35E-05	2.98E-05	4.56E-05	1.71E-04	1.71E-04	3.30E-04	1.88E-04	NO						
gadA	b3517	1.13E-05	3.86E-06	3.94E-06	6.39E-06	9.09E-06	6.77E-06	7.08E-06	NO						
yhjA	b3518	1.26E-05	1.15E-05	2.01E-05	6.16E-05	9.09E-05	9.33E-05	6.53E-05	NO						
yhjB	b3520	4.66E-07	3.36E-06	3.47E-06	6.32E-06	1.18E-05	1.25E-05	1.25E-05	NO						
yhjG	b3524	1.40E-05	6.92E-06	1.52E-05	2.60E-05	3.36E-05	3.04E-05	3.25E-05	NO						
yhjH	b3525	0.00E+00	7.90E-07	4.40E-06	1.14E-05	1.74E-05	1.17E-05	1.33E-05	NO						
yhjJ	b3527	1.15E-04	1.44E-04	2.15E-04	5.61E-04	5.84E-04	4.15E-04	2.50E-04	NO						
dctA	b3528	5.30E-05	9.73E-05	1.10E-04	1.01E-04	1.26E-04	9.82E-05	7.83E-05	NO						
yhjK	b3529	7.93E-05	1.09E-04	1.35E-04	2.63E-04	3.35E-04	2.64E-04	1.58E-04	NO						
bcsC	b3530	6.81E-05	6.84E-05	8.79E-05	1.56E-04	1.80E-04	1.81E-04	1.58E-04	NO						
bcsZ	b3531	3.89E-06	1.60E-05	2.11E-05	3.37E-05	4.67E-05	4.73E-05	2.28E-05	NO						
bcsB	b3532	1.09E-05	3.52E-05	5.13E-05	6.86E-05	9.04E-05	9.54E-05	6.00E-05	NO						
bcsA	b3533	1.12E-05	5.60E-05	1.14E-04	1.53E-04	1.83E-04	1.68E-04	1.46E-04	NO						
yhjQ	b3534	3.11E-05	8.32E-05	9.04E-05	9.91E-05	1.55E-04	1.13E-04	7.50E-05	NO						
yhjR	b3535	4.84E-05	3.10E-05	2.40E-05	3.48E-05	4.59E-05	3.95E-05	2.46E-05	NO						
ldrD	b4453	2.30E-06	9.48E-06	4.81E-06	5.68E-06	8.31E-06	8.98E-06	5.23E-06	NO						
dppF	b3540	8.08E-05	5.88E-05	8.76E-05	6.75E-05	3.53E-05	5.92E-05	6.33E-05	NO						
dppD	b3541	9.57E-05	6.91E-05	8.69E-05	6.14E-05	4.94E-05	7.11E-05	5.67E-05	NO						
dppC	b3542	3.40E-05	4.46E-05	7.07E-05	5.90E-05	4.94E-05	6.19E-05	5.67E-05	NO						
dppB	b3543	3.04E-05	5.96E-05	7.55E-05	6.46E-05	6.65E-05	6.78E-05	5.55E-05	NO						
dppA	b3544	3.55E-04	2.35E-04	2.05E-04	1.80E-04	2.40E-04	2.16E-04	2.28E-04	NO						
yhjX	b3547	8.08E-06	6.52E-06	1.76E-05	3.46E-05	4.51E-05	3.52E-05	1.57E-05	NO						
yhjY	b3548	1.27E-05	7.31E-06	7.93E-06	3.27E-05	2.69E-05	2.74E-05	9.99E-06	NO						
bisC	b3551	2.07E-04	1.85E-04	2.30E-04	2.99E-04	3.14E-04	4.39E-04	3.64E-04	NO						
yiaF	b3554	2.83E-04	3.05E-04	2.66E-04	2.93E-04	3.27E-04	3.13E-04	3.84E-04	NO						
mokA	b4647	0.00E+00	1.77E-06	4.61E-07	2.03E-07	0.00E+00	8.16E-07	0.00E+00	NO						
hokA	b4455	0.00E+00	1.57E-06	4.60E-07	2.02E-07	0.00E+00	6.11E-07	0.00E+00	NO						
glyS	b3559	1.95E-03	1.80E-03	1.83E-03	1.44E-03	1.32E-03	1.35E-03	1.15E-03	NO						
glyQ	b3560	6.52E-04	7.00E-04	5.55E-04	7.21E-04	8.38E-04	6.49E-04	5.06E-04	NO						
ysaB	b4553	0.00E+00	5.91E-07	2.31E-06	9.21E-06	9.83E-06	9.69E-06	5.45E-06	NO						
yiaA	b3562	5.43E-06	9.87E-07	4.05E-06	8.55E-06	9.97E-06	1.71E-05	1.33E-05	NO						
yiaB	b3563	1.55E-07	3.94E-07	9.24E-07	2.65E-06	3.07E-06	4.10E-06	4.16E-06	NO						
xylB	b3564	0.00E+00	1.27E-05	2.62E-05	2.51E-05	3.23E-05	3.07E-05	4.36E-05	NO						
xylA	b3565	1.38E-05	1.58E-05	1.69E-05	1.57E-05	9.73E-06	1.83E-05	1.50E-05	NO						
bax	b3570	1.46E-04	2.43E-04	3.49E-04	7.70E-04	6.42E-04	3.67E-04	2.02E-04	NO						
ysaA	b3573	6.67E-06	1.11E-05	1.97E-05	1.43E-05	9.20E-06	1.23E-05	4.99E-06	NO						
yiaJ	b3574	4.83E-05	3.22E-05	2.77E-05	1.57E-05	1.64E-05	1.27E-05	1.57E-05	NO						
ysaC	b4648	0.00E+00	3.90E-07	0.00E+00	1.01E-06	2.28E-06	9.12E-07	0.00E+00	NO						
yiaT	b3584	8.23E-06	6.13E-06	6.94E-06	3.67E-06	7.93E-06	5.54E-06	3.61E-06	NO						
yiaV	b3586	0.00E+00	4.35E-06	6.79E-06	4.69E-06	6.91E-06	3.69E-06	4.17E-06	NO						
yiaW	b3587	0.00E+00	1.18E-06	6.93E-07	1.22E-06	2.55E-07	1.23E-06	0.00E+00	NO						
aldB	b3588	0.00E+00	1.78E-06	7.06E-06	8.36E-06	8.96E-06	4.62E-06	2.50E-06	NO						
yiaY	b3589	0.00E+00	5.14E-06	7.97E-06	8.16E-06	7.68E-06	9.24E-06	1.67E-06	NO						
selB	b3590	2.04E-04	1.90E-04	2.23E-04	1.66E-04	1.43E-04	1.52E-04	1.35E-04	NO						
selA	b3591	9.09E-05	9.81E-05	1.43E-04	1.45E-04	1.33E-04	1.31E-04	9.17E-05	NO						
yibF	b3592	3.20E-05	1.85E-05	2.94E-05	7.20E-05	6.72E-05	9.34E-05	7.43E-05	NO						
yibH	b3597	0.00E+00	5.93E-06	9.26E-06	7.75E-06	7.68E-07	7.22E-06	8.33E-06	NO						
yibI	b3598	0.00E+00	9.86E-07	1.16E-06	2.65E-06	2.55E-06	2.25E-06	0.00E+00	NO						
yibT	b4554	4.17E-05	1.37E-05	1.25E-05	1.37E-05	7.39E-06	2.12E-05	2.13E-05	NO						
cysE	b3607	1.31E-04	1.24E-04	1.64E-04	1.94E-04	1.97E-04	2.30E-04	1.92E-04	NO						
gpsA	b3608	3.37E-04	3.42E-04	3.40E-04	3.34E-04	3.73E-04	3.23E-04	3.63E-04	NO						
secB	b3609	4.21E-04	4.07E-04	2.90E-04	2.62E-04	2.38E-04	2.73E-04	4.39E-04	NO						
grxC	b3610	1.52E-04	1.45E-04	1.37E-04	1.33E-04	1.46E-04	1.39E-04	2.39E-04	NO						
yibN	b3611	1.80E-04	2.46E-04	2.38E-04	2.13E-04	2.00E-04	1.83E-04	2.99E-04	NO						
yibD	b3615	0.00E+00	5.18E-06	1.15E-05	1.37E-05	1.25E-05	1.90E-05	2.33E-05	NO						
tdh	b3616	4.19E-04	2.84E-04	2.66E-04	1.80E-04	1.63E-04	2.11E-04	2.37E-04	NO						
kbl	b3617	3.57E-04	3.10E-04	3.03E-04	2.56E-04	2.38E-04	2.48E-04	2.57E-04	NO						
htrL	b3618	4.52E-05	1.13E-04	9.12E-05	2.04E-04	2.15E-04	2.29E-04	1.69E-04	NO						
waaU	b3623	2.78E-05	5.30E-05	2.96E-05	2.48E-05	1.41E-05	3.03E-05	4.15E-05	NO						
rfaZ	b3624	4.68E-05	6.04E-05	3.99E-05	3.47E-05	2.99E-05	3.40E-05	4.83E-05	NO						
rfaY	b3625	3.09E-05	6.37E-05	5.77E-05	4.12E-05	2.51E-05	3.86E-05	5.76E-05	NO						
rfaJ	b3626	8.86E-05	1.18E-04	7.37E-05	5.93E-05	3.94E-05	6.50E-05	1.04E-04	NO						
rfaI	b3627	5.48E-05	9.07E-05	7.96E-05	6.51E-05	5.71E-05	8.13E-05	1.13E-04	NO						
rfaB	b3628	1.02E-04	1.04E-04	1.07E-04	8.95E-05	9.60E-05	1.02E-04	1.34E-04	NO						
rfaS	b3629	5.10E-05	8.03E-05	5.29E-05	3.43E-05	4.22E-05	8.96E-05	7.72E-05	NO						
rfaP	b3630	5.92E-05	1.01E-04	7.40E-05	7.53E-05	8.75E-05	1.06E-04	1.21E-04	NO						
rfaG	b3631	1.37E-04	1.38E-04	1.05E-04	1.07E-04	1.37E-04	1.76E-04	1.71E-04	NO						
rfaQ	b3632	1.28E-04	1.10E-04	1.09E-04	1.54E-04	1.83E-04	2.03E-04	2.00E-04	NO						
mutM	b3635	9.34E-05	8.70E-05	1.02E-04	7.35E-05	5.99E-05	4.95E-05	6.58E-05	NO						
rpmG	b3636	1.55E-03	1.64E-03	1.17E-03	1.01E-03	8.35E-04	9.88E-04	1.68E-03	NO						
rpmB	b3637	1.46E-03	1.99E-03	1.77E-03	1.79E-03	1.54E-03	1.53E-03	2.70E-03	NO						
yicR	b3638	8.79E-05	7.55E-05	8.50E-05	1.18E-04	9.13E-05	1.23E-04	1.36E-04	NO						
pyrE	b3642	1.20E-05	1.94E-05	2.82E-05	2.52E-05	1.25E-05	1.13E-05	7.83E-06	NO						
rph	b3643	1.20E-04	1.73E-04	2.01E-04	1.67E-04	1.39E-04	1.06E-04	1.40E-04	NO						
ligB	b3647	1.24E-05	6.16E-06	3.43E-05	3.35E-05	3.84E-05	3.03E-05	2.25E-05	NO						
gltS	b3653	1.27E-04	2.49E-04	2.88E-04	1.45E-04	1.02E-04	8.25E-05	6.67E-05	NO						
yicI	b3656	2.27E-05	1.58E-05	2.11E-05	2.71E-05	2.41E-05	2.66E-05	2.79E-05	NO						
yicJ	b3657	6.08E-06	2.37E-06	3.32E-06	6.26E-06	5.12E-06	5.20E-06	4.17E-06	NO						
nlpA	b3661	9.85E-04	3.83E-04	2.86E-04	1.48E-04	1.79E-04	2.70E-04	1.46E-04	NO						
nepI	b3662	1.59E-05	5.04E-05	1.13E-04	2.68E-04	2.67E-04	2.66E-04	2.26E-04	NO						
yicN	b3663	4.19E-06	1.07E-05	1.81E-05	2.68E-05	1.93E-05	2.58E-05	2.25E-05	NO						
yicO	b3664	0.00E+00	2.77E-06	1.62E-06	6.22E-06	3.58E-06	3.49E-06	3.33E-06	NO						
uhpT	b3666	6.37E-06	7.12E-06	1.78E-05	2.27E-05	1.28E-05	1.89E-05	7.92E-06	NO						
uhpC	b3667	2.64E-06	2.56E-05	4.72E-05	4.40E-05	4.98E-05	4.03E-05	1.54E-05	NO						
uhpB	b3668	2.27E-05	5.78E-05	1.02E-04	8.41E-05	5.86E-05	6.13E-05	3.75E-05	NO						
uhpA	b3669	3.70E-05	5.73E-05	7.94E-05	4.63E-05	3.36E-05	2.74E-05	1.88E-05	NO						
ilvN	b3670	2.15E-05	3.59E-05	3.35E-05	1.61E-05	6.89E-06	1.53E-05	4.15E-06	NO						
ilvB	b3671	2.01E-04	2.21E-04	2.16E-04	1.45E-04	1.02E-04	9.90E-05	4.20E-05	NO						
ivbL	b3672	2.63E-05	2.09E-05	4.11E-05	7.64E-05	7.15E-05	1.00E-04	6.54E-05	NO						
yidF	b3674	1.24E-06	7.31E-06	1.73E-05	3.02E-05	2.49E-05	2.11E-05	1.58E-05	NO						
yidG	b3675	5.58E-06	2.49E-06	6.01E-06	1.15E-05	9.71E-06	1.43E-05	4.16E-06	NO						
yidH	b3676	9.30E-07	3.35E-06	8.09E-06	5.37E-06	5.36E-06	7.32E-06	5.82E-06	NO						
yidJ	b3678	2.95E-06	4.75E-06	6.91E-06	1.06E-05	1.02E-05	8.62E-06	1.00E-05	NO						
yidK	b3679	3.11E-07	3.76E-06	3.01E-06	8.16E-06	6.40E-06	6.86E-06	5.83E-06	NO						
glvG	b4556	4.35E-06	3.95E-06	1.92E-05	1.02E-05	1.18E-05	8.00E-06	1.00E-05	NO						
glvC	b3683	3.11E-07	1.98E-06	3.71E-06	3.47E-06	6.66E-06	4.11E-06	4.17E-06	NO						
yidE	b3685	5.36E-05	6.47E-05	7.09E-05	6.63E-05	8.14E-05	7.65E-05	4.17E-05	NO						
ibpB	b3686	4.44E-05	5.96E-05	3.43E-05	2.26E-05	3.09E-05	4.03E-05	3.49E-05	NO						
ibpA	b3687	1.02E-04	7.87E-05	5.96E-05	2.84E-05	2.17E-05	4.91E-05	2.08E-05	NO						
yidR	b3689	1.49E-05	2.08E-05	3.67E-05	4.06E-05	4.92E-05	4.99E-05	2.67E-05	NO						
dgoT	b3691	6.22E-06	4.15E-06	3.01E-06	3.57E-06	4.10E-06	5.75E-06	4.17E-06	NO						
dgoD	b4478	1.01E-05	4.15E-06	8.17E-06	1.61E-05	2.82E-06	1.47E-05	7.50E-06	NO						
dgoA	b4477	0.00E+00	2.77E-06	3.30E-06	6.11E-06	8.19E-06	7.79E-06	4.16E-06	NO						
dgoK	b3693	4.34E-06	6.52E-06	1.06E-05	1.77E-05	1.56E-05	1.05E-05	6.66E-06	NO						
dgoR	b4479	1.17E-05	1.60E-05	1.50E-05	2.20E-05	2.71E-05	1.05E-05	7.50E-06	NO						
yidA	b3697	1.16E-04	7.28E-05	6.62E-05	4.71E-05	2.69E-05	3.50E-05	2.53E-05	NO						
yidB	b3698	2.23E-05	1.60E-05	2.27E-05	1.55E-05	1.69E-05	8.81E-06	1.25E-05	NO						
gyrB	b3699	6.54E-04	8.93E-04	1.02E-03	1.25E-03	1.32E-03	1.34E-03	2.26E-03	NO						
